nom,departement,numero_dep,categorie,resume,histoire,latitude,longitude,adresse,baignade,toilettes,restaurant,photo
Le géant du Cap de la Chèvre,Finistère,29,Créatures Fantastiques,Quand le géant Kawr rencontre les korrigans ...,"Fée Armelle : “Approchez, cher voyageur, et écoutez bien cette histoire. Le Cap de la chèvre renferme bon nombre de mystères… L’un d’eux raconte l’histoire du géant Kawrn, un des personnages principaux de la mythologie bretonne. Jadis, les géants régnaient et se nourrissaient de la chair des matelots noyés en mer. Mais dans des grottes non loin de là, vivaient les Korrigans, ces petits lutins facétieux qui peuplent les endroits déserts. Une nuit, le géant Kawr captura l’un des korrigans, et lui demanda de convoquer toute la tribu à se réunir dans la grotte de Morgat. Le géant voulait creuser un tunnel jusqu’à la grotte et dévorer le plus de Korrigans possible. Cependant, lorsqu’il mit son plan à exécution, il déboucha sur une grotte complètement vide. Les Korrigans s’étaient joués de lui. Très malins, les petites créatures avaient allumé un grand feu devant la cavité souterraine, pour que l’épaisse fumée fumée asphyxie le géant qui s’y trouvait. Les lutins profitèrent de l’impuissance de Kawrn pour bloquer les issues de la grotte et l'emmurèrent dans la falaise. La légende raconte que les hurlements furieux du géant parviendront à vos oreilles si vous vous promenez sur le cap de la chèvre lors d’un soir de tempête. Cependant, n'ayez aucune pitié, car quiconque le libérerait se verrait immédiatement dévoré.”",48.23333333,-4.56666667,Crozon 29160,FALSE,FALSE,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/051_La_Pointe_de_Dinan.JPG/800px-051_La_Pointe_de_Dinan.JPG
La légende d'Azénor,Finistère,29,Histoires Maritimes,Le tragique destin de la comtesse Azénor..., victime d'injustice","Tu la connais celle-là ? Cette légende nous raconte l'histoire d’Azénor, une pauvre dam’zelle bien malchanceuse. En 537, Azénor est une jeune fille mariée au comte de Goelo depuis quelques mois, mais elle doit continuellement subir les remarques de sa vieille belle-mère. La marâtre alla même jusqu’à convaincre le comte que son épouse était coupable d’adultère. L’homme, fou de rage, amena Azénor auprès de son père et la fit emprisonner dans la tour qui porte aujourd'hui son nom. La pauvre mam’zelle se fit condamner au bûcher pour ses péchés, mais le feu ne voulut pas prendre. On l’enferma alors dans un tonneau pour le jeter à la mer. La jeune fille, alors enceinte du comte, accosta plus tard sur la Terre d’Irlande, et accoucha d’un petit marmot qu’elle appela Buloc. Sa belle-mère, sur le point de mourir, avoua son mensonge, et le comte remua alors ciel et terre pour retrouver celle qu’il avait injustement condamné. Sur la terre d’Irlande, il croisa le p’tit Buloc, et remarquant la ressemblance avec Azénor, il lui demanda de le conduire à sa mère. Le petit s’exécuta et tous trois finirent par retourner en Bretagne.",48.3813889,-4.494722222222222,"6 Boulevard Jean Moulin, 29200 Brest",FALSE,FALSE,FALSE,https://www.brest.fr/fileadmin/_processed_/7/c/csm_chateau_jyg_ts22678_609acd8dc4.jpg
La légende des Korrigans,Finistère,29,Créatures Fantastiques,Des petits gnomes riches et malicieux...,"Fée Armelle : “De nombreuses créatures vivent sur les côtes bretonnes. Si un jour vous vous promenez sur la presqu’île de Crozon, vous apercevrez peut-être ces petits êtres que l’on appelle les Korrigans. La légende raconte que ces lutins très farceurs se plaisaient à attirer les humains dans des rondes de danse autour du feu. Si l’humain cédait à la tentation, il se faisait tuer ou enfermer dans l’une de leurs cavernes souterraines. Mais si les Korrigans étaient des créatures facétieuses, il leur arrivait parfois de venir en aide aux Hommes et faire le bien autour d’eux.”",48.25475440970997,-4.432193131371162,29160 Crozon,FALSE,FALSE,FALSE,https://littleweekends.fr/wp-content/uploads/2020/03/Croque-Ile-Vierge-Crozon.jpg
Les légendes du Cap Sizun,Finistère,29,Créatures Fantastiques,Les korrigans, lutins et sirènes du Cap Sizun...,"Fée Armelle : “Cher voyageur, permettez-moi de vous conter l’histoire du Cap Sizun, cette célèbre terre bretonne qui regorge de magie et de merveilles. Il existe, cachée dans les hauteurs du cap, une caverne nommée “Toul Korriked”, la taverne des Korrigans. Rares sont les habitants qui osent s’y aventurer à la nuit tombée. Les deux grands dolmens de Kériapoc à Prospéré leur servaient de tables pour jouer aux palets. Les Begou-noz, des lutins malfaisants, se métamorphosaient en feux voltigeants dans les environs de Trez-Goarem pour inciter les passants à se battre. On raconte également que des sirènes auraient établi leur demeure au sein de cette presqu’île effilée. Un humain ignorant tenta un jour de capturer l’une d’entre elles. Effrayée, la sirène plongea immédiatement dans l’eau, déclenchant une tempête qui jeta vingt bateaux à la côte.”",48.091032094831185,-4.520865535261121,29790 Beuzec Cap Sizun,FALSE,FALSE,FALSE,https://cdt29.media.tourinsoft.eu/upload/kastel.jpg
Les légendes du Cap Sizun,Finistère,29,Croyances Religion,Des sorcières impitoyables...,"Le moine : Prenez garde, mon enfant, si un jour il vous arrive de croiser les sorcières du Cap. Ces adoratrices de Satan à la puissance redoutable se rendaient autrefois aux sabbats de la mer dès que la nuit tombait, Le but de ces inquiétantes nautonières était de vouer à la mort leur ennemi désigné, à moins que le jeune homme n’ait auparavant réparé sa faute. Les affreuses sorcières devaient pour cela réaliser trois veillées, assister à trois sabbats, et remettre au démon un objet appartenant à la malheureuse personne qui devait disparaître…",48.091032094831185,-4.520865535261121,29791 Beuzec Cap Sizun,FALSE,FALSE,FALSE,https://cdt29.media.tourinsoft.eu/upload/kastel.jpg
La pointe du Raz,Finistère,29,Histoires Maritimes,Un océan maudit...,"
Hisse la grand-voile et embarque sur le navire pour découvrir la légende de la pointe du Raz ! Elle raconte qu’au crépuscule, un vieux rafiot naviguait sur l’océan, contre vents et marées. Pas d’équipage à bord, seulement un capitaine seul, tenant fermement le gouvernail. Ce matelot n’était autre que l’Ankou marin, premier noyé de l’année. Une immense plainte escortait son rafiot, que jamais personne n’a pu aborder. Son nom ? La barque des morts.
Un autre récit raconte qu’un pêcheur habitant en bord de mer s’est fait un jour réveiller par des coups à sa porte. Tonnerre ! Lorsqu’il alla ouvrir sa porte, une une force invisible et puissante l'entraîna vers son bateau ! Il embarqua et prit la mer en direction d’une mystérieuse île, qui en réalité,  faisait  l’appel des âmes que son rafiot transportait.
",48.04087661696681,-4.7408242693698135,29770 Plogoff,FALSE,FALSE,FALSE,https://storage.lebonguide.com/crop-1600x700/91/56/62DF4EA2-DB1B-4ACA-8354-4BE15F44AC9E.png
La Pointe de Saint-Mathieu,Finistère,29,Histoires Maritimes,Le miracle du naufrage...,"Dis moi jeune mousse, connais-tu la légende de la pointe Saint-Mathieu ? Elle se réfère au saint qui portait son nom. On raconte que des marchands revenant d’Ethiopie avec le corps de Saint-Mathieu auraient été miraculeusement sauvés du naufrage qui a failli causer leur mort au large de la pointe Saint-Mathieu.",48.331673026695306,-4.7734866232475515,29217 Plougonvelin,FALSE,FALSE,FALSE,https://www.tourismebretagne.com/app/uploads/crt-bretagne/2018/09/1-pointe-saint-mathieu-berthier-emmanuel-1920x960.jpg
Cairn de Barnenez,Finistère,29,Créatures Fantastiques,Cairn, demeure des korrigans...,"Fée Armelle : “Si vous vous aventurez près du Cairn de Barnenez, vous apercevrez sûrement quelques Korrigans, ces petits lutins velus qui aiment jouer des tours aux humains. On raconte qu’autrefois, le Carin servait de demeure à ces créatures. Quelques paysans courageux auraient même entrepris de chercher le trésor des Korrigans, évoqué dans une ancienne légende, mais ils ne trouvèrent comme butin que quelques fragments d’os.”",48.66772032004395,-3.8583127869139626,"Cairn de Barnénez, 29252 Plouezoc'h",FALSE,FALSE,FALSE,https://i0.wp.com/scotome.com/blog/wp-content/uploads/2019/09/barnenez66.jpg
La fée de l'ile du Loc'h,Finistère,29,Créatures Fantastiques,Une fée qui finalement n'en est pas une...,"Fée Armelle : “Approchez, humble voyageur et tendez l’oreille ; voici l’histoire de la fée de l’île du Loc’h. Il y a bien longtemps, deux amants, Houlan Pogam de Lannilis et Bella Postik souhaitaient se marier. Malheureusement, leur situation précaire les empêchaient de célébrer leurs noces. Il y avait au village, une légende racontant qu’une fée dotée de pouvoirs merveilleux vivait sur l’île du Loc’h. Houlan prit la décision de s’y rendre, dans l’espoir que la fée puisse lui accorder ce qu’il souhaitait tant. Lorsqu’il arriva sur l’île, il se rendit compte qu’il avait été berné. La fée était en réalité une sorcière propriétaire d’un magnifique trésor qui transforma Houlan en grenouille verte. Par chance, Bella vint le délivrer de la malédiction grâce à un talisman qu’elle possédait. Les deux amants s’en servirent pour délivrer les autres malheureuses victimes piégées dans les filets magiques de la sorcière, puis ils s’emparèrent du trésor et purent célébrer leur mariage à Lannilis.”",47.706312413968284,-3.995927778070277,Fouesnant,FALSE,FALSE,FALSE,https://www.letelegramme.fr/ar/imgproxy.php/images/2017/08/23/l-ile-du-loc-h-est-la-plus-grande-de-l-archipel-des-glenan_3573361.jpg
Le dragon de l'ile de Batz,Finistère,29,Créatures Fantastiques,La légende a fait de ce rocher le lieu où Saint Pol aurait précipité dans la mer le dragon qui terrorisait l'ile...,"Fée Armelle : Les dragons sont des créatures impitoyables… Et l’un d’eux est devenu célèbre sur cette île, laissez -moi vous conter son histoire. Un beau jour, le moine Paul Aurélien se rendit sur l'Île de Batz afin d’évangéliser cette partie de la Bretagne. Le compte Withur accepta de l'accueillir avec plaisir et bienveillance sur ses terres, mais seulement à condition de délivrer le pays d’un affreux dragon semant la terreur autour de lui. Ce dragon avait déjà dévoré des hommes, des femmes et des animaux. Tous ceux qui jusqu’alors avaient essayé de combattre la bête y avaient laissé leur vie. Après une nuit entière de prières, le moine se fit accompagner d’un jeune guerrier pour l’aider dans sa quête. Ils se rendirent au repaire du monstre, et le dragon parut en poussant d’horribles sifflements. Pourtant, Paul Aurélien parvint à le conduire jusqu’à la pointe ouest de l'île, et lui ordonna de se précipiter dans la mer, dans cet endroit que l’on nomme aujourd'hui Le trou du Serpent. Le dragon s'exécuta. Le moine se fit ensuite récompenser par le comte en se voyant offrir l'île de Batz. On raconte encore aujourd’hui que les vagues qui se fracassent sur le fameux rocher produisent toujours ce sifflement étrange.",48.748446385263726,-4.015452942083586,29253 Île-de-Batz,FALSE,FALSE,FALSE,https://live.staticflickr.com/65535/48695614402_8057b4fe55_o.jpg
Le phare de Tévennec,Finistère,29,Histoires Maritimes,Un phare qui causerait de la folie et des naufrages chez les marins qui s'en approchent...,"Halte là, cette histoire n’est pas pour les marins d’eau douce ! Le phare de Tévennec est à l’origine d’une sombre légende : il aurait été la cause de nombreux naufrages en raison de son sommet, s’élevant à quatorze mètres au-dessus du niveau de l’océan, ce qui en fait un phare fréquemment balayé par les embruns. Il est impossible d’y aborder dès que la mer est formée. Le phare dispose d’une sinistre réputation auprès des matelots et des habitants du cap Sizun, de laquelle on raconte toutes sortes d’histoires : des marins qui deviennent fous en quelques mois, d’autres qui meurent brutalement, des cris lugubres, qui viendraient des âmes des marins naufragés sur l'îlot. On raconte que des plongeurs auraient découvert une grotte sous-marine traversant cet îlot, et lorsque les vagues s’y engouffrent, l’air s’échappe des failles de la roche et produit de sinistres hurlements…",48.07152977555185,-4.795290730760175,Domaine public maritime,FALSE,FALSE,FALSE,https://tel.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FTEL.2F2019.2F09.2F20.2Fe8b349ef-33d8-4b59-924e-e6c9f6757e1b.2Ejpeg/860x600/quality/65/le-phare-de-tevennec-bretagne.jpg
Les pilleurs d'épave de Ménéham,Finistère,29,Histoires Maritimes,Les paganiz, des êtres pilleurs et meutriers...,"Tu as l’air d’en connaitre un bon bout sur l'océan moussaillon, mais as-tu déjà entendu parler des Paganiz ? Ce peuple composé d’hommes et de femmes à la fois cruels, perfides et sournois, accrochaient des lanternes aux cornes des vaches lorsque la nuit tombait et qu’il faisait mauvais temps. Cette pratique n’avait qu’un seul but : provoquer la perdition des frégates qui voguaient au large de l’océan. La légende raconte aussi que les survivants des rafiots échoués sur la grève se faisaient tuer par les paganiz et se faisaient dépouiller de leurs biens, avant que leurs corps ne soient rejetés à la mer. Les membres de ce peuple barbare et cruel n’hésitaient pas à “arracher une bague au doigt d’une femme qui se noyait, à lui couper avec les dents.” Mais l’histoire nous montre que les naufrages seraient dûs à la côte du pays des pagans, et la seule vraisemblance de cette sanglante légende serait la pauvreté des habitants qui les auraient poussés à piller les navires déjà échoués.",48.668228105504234,-4.371160961117763,29890 Kerlouan,FALSE,FALSE,FALSE,https://www.brest-terres-oceanes.fr/wp-content/uploads/2018/06/Le-poste-de-garde-du-village-de-Meneham-%C2%A9-BERTHIER-Emmanuel-1920x920.jpg
La légende du Lutin Nicole,Côte d’Armor & Ille-et-Villaine,2235,Créatures Fantastiques,Un affreux lutin qui sème la terreur autour de lui...,"Fée Armelle : “Je vais aujourd’hui vous conter la légende du lutin Nicole. Cette créature au corps de marsouin vivait au nord, entre St Malo et St Brieuc. Il était tellement mauvais et malicieux que même mes sœurs et moi-même ne nous risquions pas à nous aventurer sur ses terres. Nicole ne cessait de jouer des tours aux hommes vivant dans la baie. Il était tellement malfaisant que les marins en étaient venus à supplier le recteur Saint-Cast de l’exorciser. Le recteur accepta et s’en alla trouver le lutin, accompagné de deux pêcheurs. Nicole se retrouva rapidement pris au piège et demanda grâce. Plus tard, il remit aux hommes un parchemin sur lequel il s’engageait à les laisser en paix, et on ne le revit plus jamais.”",48.55982688699681,-2.7406033170489126,St Brieuc,FALSE,FALSE,FALSE,https://www.bretagne.com/sites/default/files/post/30744-une-Saint-Brieuc-baie.jpg
